id;title;name;display_name;job_title;image_50x50;image_100x100;initials;url;user_id
84;Total Seminars • Over 1 Million Enrollments;Total Seminars •;Total Seminars • Over 1 Million Enrollments;Home of Mike Meyers and his Team of IT Certification Pros;https://img-c.udemycdn.com/user/50x50/16569604_3a90.jpg;https://img-c.udemycdn.com/user/100x100/16569604_3a90.jpg;TO;https://www.udemy.com/user/total_seminars/;1

85;Mike Meyers;Mike;Mike Meyers;CompTIA Certification Pro;https://img-c.udemycdn.com/user/50x50/16936698_b049_3.jpg;https://img-c.udemycdn.com/user/100x100/16936698_b049_3.jpg;MM;https://www.udemy.com/user/mike-meyers/;1

91;Phil Ebiner;Phil;Phil Ebiner;Top-Rated Instructor, 2.5 Million+ Students;https://img-c.udemycdn.com/user/50x50/317821_3cb5_10.jpg;https://img-c.udemycdn.com/user/100x100/317821_3cb5_10.jpg;PE;https://www.udemy.com/user/philipebiner2/;1

92;William Carnahan;William;William Carnahan;Photographer/ Cinematographer;https://img-c.udemycdn.com/user/50x50/14267432_d7f1.jpg;https://img-c.udemycdn.com/user/100x100/14267432_d7f1.jpg;WC;https://www.udemy.com/user/william-carnahan/;1

93;Video School;Video;Video School;Learn Creative Skills;https://img-c.udemycdn.com/user/50x50/19701574_95d1_13.jpg;https://img-c.udemycdn.com/user/100x100/19701574_95d1_13.jpg;VS;https://www.udemy.com/user/phil-ebiner/;1

94;Sam Shimizu-Jones;Sam;Sam Shimizu-Jones;Cinematographer / Photographer;https://img-c.udemycdn.com/user/50x50/10228478_c3a7_2.jpg;https://img-c.udemycdn.com/user/100x100/10228478_c3a7_2.jpg;SS;https://www.udemy.com/user/samshimizujones2/;1

97;Chad Darby;Chad;Chad Darby;Popular Java Spring Instructor - Best Seller;https://img-c.udemycdn.com/user/50x50/7644438_8f29.jpg;https://img-c.udemycdn.com/user/100x100/7644438_8f29.jpg;CD;https://www.udemy.com/user/chaddarby2/;1

100;Ben Tristem;Ben;Ben Tristem;GameDev.tv Founder :: Entrepreneur :: Passionate Teacher;https://img-c.udemycdn.com/user/50x50/4355282_676b_2.jpg;https://img-c.udemycdn.com/user/100x100/4355282_676b_2.jpg;BT;https://www.udemy.com/user/bentristem/;1

101;Stephen Ulibarri;Stephen;Stephen Ulibarri;Engineer, Programmer, Game Developer, Author;https://img-c.udemycdn.com/user/50x50/49728164_5c93_2.jpg;https://img-c.udemycdn.com/user/100x100/49728164_5c93_2.jpg;SU;https://www.udemy.com/user/stephen-ulibarri-3/;1

103;Mumshad Mannambeth;Mumshad;Mumshad Mannambeth;Best Selling Instructor | Teaches Kubernetes;https://img-c.udemycdn.com/user/50x50/31303958_8529_3.jpg;https://img-c.udemycdn.com/user/100x100/31303958_8529_3.jpg;MM;https://www.udemy.com/user/mumshad-mannambeth/;1

